小说名,作者,分类,状态,简介
大唐贞观第一纨绔,危险的世界,历史*两晋隋唐,连载中,良田千倾靠山河，父作高官子登科。儿孙满堂享天年，长生不老总活着。现代草根宅男因为判官的失误，附身大唐太子李承乾。上有千古一帝的老爹，下有万世人镜魏征，前有千古贤后的老妈，后
漫威世界的术士,火之高兴,奇幻*现代魔法,连载中,恶魔是我的奴仆，邪能是我的力量，暗影与烈焰伴我左右，我是一名术士。一名术士行走在漫威的世界里。（没系统，靠自己吧少年。）欢迎加入漫威世界的术士书友群，群号码：177873494
超级浮空城,诸生浮屠,玄幻*异世大陆,连载中,建造有史以来最牛逼的浮空城，去探索无尽星海，收集各类可爱的魔物娘女仆。【PS：简介都不许我文青一下。摔！这个够简单粗暴了吧。因为浮屠的读者老司机太多，据说配合本章说阅读会有新奇的体验。
无上崛起,宝石猫,玄幻*高武世界,连载中,紫日当空，天地巨变，皓月有缺，虚空相连！经历了一场被称为大破灭灾难的地球，大部分的生物直接死去，人类在最后的安全区域苦苦坚守，可是他们面对的，不只是变异的凶兽，还有那随时都能破开空间壁
美利坚财富人生,羞涩的小恶魔,都市*都市生活,连载中,从2015年的华夏手游程序员宋大伟穿越附体2006年溺亡的美国少年作家安迪史密斯，既然重生了那么就好好的享受生活吧。财富人生——608930126（已满）财富人生2群——699794748v
跑出我人生,丧尸舞,体育*体育赛事,连载中,重回少年时代的苏祖，得到了一个系统，走上了曾经梦想追逐的体育竞技之路。新书友群：666-502-656
超能名帅,陈爱庭,体育*足球运动,连载中,一个来自中国的菜鸟教练，孤身闯荡欧洲足坛，立志成为世界顶尖名帅。
教练万岁,过关斩将,体育*体育赛事,连载中,《全能运动员》作者过关斩将的新书。跑不快？跳不高？缺乏耐力？体重超标？罚球不准？不会投三分？受伤了？想要康复训练？我来帮你解决！我是一名教练，一名创造奇迹的教练！
变身之萝莉主播,青棘,二次元*变身入替,连载中,莫名其妙变成一只十岁小萝莉，莫名其妙又获得一个‘嘴强王者’系统。她可以在直播的时候，将脑子里面的各种不可思议的骚操作实现出来！绝地求生30杀吃鸡？这真的是基本操
大明望族,雁九,历史*两宋元明,连载中,谚云：天下沈氏出吴兴，吴兴沈氏与汝南周氏、会稽顾氏、陇西李氏、东海陈氏、中山张氏并称中国六大世家。大明中叶，世家郡望早已凋零，沈氏分支立足松江，名声鹊起，为当世显赫望族。只
恶魔囚笼,颓废龙,游戏*虚拟网游,连载中,一款不受任何保护的地下游戏，一群追逐权利、财富、生命的玩家！命不久矣的秦然，选择进入其中——为了活下去的机会！企鹅群（VIP全订：547350184；普通：39236264
重生之最强剑神,天运老猫,游戏*虚拟网游,连载中,重头再来，为了掌控命运，再次进入了这款“活着的游戏”。这一次，他不会在受人所制。身为200级剑王，这一世他要攀向更高峰。游戏赚钱技巧！游戏副本攻略！游戏传奇任务
决战第三帝国,远征士兵,军事*军事战争,连载中,秦川，一个从没上过战场的教授，一个考古学家，因为元首的黑科技回到了第三帝国并成为一名普通的德国士兵，一名被战友认为只会拖后腿的士兵，一名无组织、无训练、无经验的三无士兵，更悲催的这还是德国即将失败
苍穹之上,石三,仙侠*神话修真,连载中,苍穹之下的千年苦修，只为有朝一日立身于苍穹之上！位于洪武天朝和妖族七杀部咽喉要地的天断峡谷中，忽有天降神异之物，裹挟着一众修兵，滚入了浩荡的历史洪流当中……宋征只是其中不那么起
生于1984,老徐牧羊,都市*娱乐明星,连载中,依旧华娱系列…从小鲜肉到大导演…群号：608668087V群：155327545（需订阅截图）
变身路人女主,醉卧笑伊人,二次元*变身入替,连载中,路人女主的搞事方法，一言不合就搞事，搞着搞着就从路人搞成了女主。这大概是一个将没有存在感的自己培养成完美女主角的故事。
寒门状元,天子,历史*两宋元明,连载中,看腻了刀光剑影，鼓角争鸣，或者可以品尝一下社会底层草根的艰苦营生。本书讲述的是穿越大明落魄寒门的沈溪，在这个万般皆下品惟有读书高的年代，用他的努力一步步改变命运，终于走上人生巅峰！
两界搬运工,石闻,科幻*时空穿梭,连载中,自由穿行在现实世界和玄幻世界之间，安静的做一个两界搬运工。PS1：有六百四十万字完本《末世魔神游戏》可解书荒。PS2：群463750414
动力之王,千年静守,都市*都市生活,连载中,被大宇宙的意志给踢回了1978年的陈耕，故事再次开始。
限制级巨星,不如踢球,体育*足球运动,连载中,我胖？我还猥琐呢。贪财？我还手黑呢。这是一个猥琐的胖子带着系统闯荡足坛的故事。限制级订阅群：554175932踢球帮：608815778（进群需全订
我从凡间来,想见江南,仙侠*修真文明,连载中,我从凡间来，到此觅长生。***********我从凡间来普通群：546435549vip书友群：556919537（需全订验证）
我是瓦尔迪,王大布,体育*足球运动,连载中,系统：我的目的不是培养星球上最出色球星，而是培养最逗比的球星瓦尔迪：我可以骂人么？系统：不可以瓦尔迪：%￥#@#￥%@逗逼日常：请在和皇马的比赛中完
铁血德意志,流泪的鱼wyj,军事*军事战争,连载中,强权即真理！铁血首相俾斯麦曾说：“当代的重大问题要得到解决，不能凭演说和议会的决议……要凭铁和血。”军事发烧友秦天，重生成了威廉二世的第五子，即奥斯卡王子。原本只想混吃等死的他，阴差阳
仙界科技,想枕头的瞌睡,都市*异术超能,连载中,“太上老君，护你那金丹干嘛啊？我不拿你的金丹。……这炉子我拿走了哈！”沈冰玩的一款修仙手游忽然连通了仙界，修仙什么的都是浮云，倒是从仙界获得的物品竟然解析出了黑科技，一张新手传送符弄出
机破星河,当年离歌,科幻*星际文明,连载中,梦想是……有实力的人才能谈论的现实。这是一个天才辈出的时代！这是一个英杰遍地的时代！贵族与平民的激烈冲突，联邦与帝国的明争暗斗，蠢蠢欲动的域外……
史上最强师兄,八月飞鹰,玄幻*东方玄幻,连载中,燕赵歌第一次穿越，穿到了武道文明繁盛至极的异世界，一头撞进包罗万象，遍收天下经典的神宫藏书楼里，但随后便是一场天地大劫，连神宫也破灭了。接下来居然第二次穿越，灵魂来到了同一个世界，不知
我是全能大明星,天下第一白,都市*都市生活,连载中,用“碧海潮生曲”唱歌。使“凌波微步”踢球。“降龙十八炒”助我成就美食天王。屌丝“莫白”获得系统，来到位面世界。音乐，钢琴，绘画，篮球，足球，游泳，击
狂探,旷海忘湖,都市*异术超能,连载中,"一个打架不要命,无节操无底线的小痞子，意外穿越到平行空间，摇身变成了一名重案组探员。巨大的身份转换，让他把警局搞得鸡飞狗跳。然而，一个邪门的奇遇系统，却让他屡破奇案，成为了一名个性张狂的痞子神探！"
儒道至圣,永恒之火,玄幻*东方玄幻,连载中,这是一个读书人掌握天地之力的世界。才气在身，诗可杀敌，词能灭军，文章安天下。秀才提笔，纸上谈兵；举人杀敌，出口成章；进士一怒，唇枪舌剑。圣人驾临，口诛笔伐，可诛
浴血兵魂,丑牛1985,军事*战争幻想,完本,元灵星球，因为粮食和石油危机，百年未发生大规模战争的各个国家，突然爆发战争，上百亿百姓卷入战争当中，作为地球人胡浩，第二次穿越到了这个星球，本想环游世界，奈何战争爆发。作为列兵，“
电影教师,青城无忌,都市*都市生活,连载中,拍出最好的电影，教出最好的学生。我是张然，电影导演，北电老师，我为中国电影代言！（华娱小说，非喜勿入。）
电影世界穿梭门,龙升云霄,科幻*时空穿梭,连载中,那一天，一道天雷劈下，王旭没有穿越，他家的大门穿越了。电影，电视剧，动漫，小说，远古神话，这里有无尽的时空，也意味着无尽的可能....普通群：260616572
大牧场主,陶良辰,都市*都市生活,连载中,重生八十年代美国华人富豪家族，天生就有亲和动植物的能力。科迪亚克棕熊悠然坐在屋檐下，龙猫被异国短尾猫追着跑。雪山映在湛蓝天空中，微风吹过草原，罗塔湖面荡起波澜，一望无际的薰
黑科技研发中心,凡核桃,都市*都市生活,连载中,"一个位于深山老林中的研发中心，却汇集了全球所有人的目光,只因这里不时流出的一项成果，就引动着全球的神经。让那些有志直播荒野的主播，有了让金属球跟随的希望。那些想去探寻神秘海"
霸皇纪,踏雪真人,玄幻*东方玄幻,连载中,我的敌人只有两种，一种是跪着的，一种是躺着的。我叫高正阳，蛮荒世界里，最霸道最任性的那个。
调戏文娱,幼儿园一把手,都市*娱乐明星,连载中,风属于天的，我借来吹吹，却吹起人间烟火。……（ps:一本好看的明星文而已，单女主。普通群：600325551，全订群：560860730（需审核）
位面电梯,千翠百恋,科幻*时空穿梭,连载中,一次偶然，东方玉发现老旧住宿楼的电梯，在特定的时间，能够随机传送到小说，电视剧，电影，乃至动漫的世界。从此，人生变得精彩了……V信书友聊天群已经建立，添加V信号410464
至尊剑皇,半步沧桑,玄幻*东方玄幻,连载中,古幽大陆，万族林立，一个小镇中的少年，坠崖重生，掀起一场惊动千古的浪潮。
纯阳武神,十步行,玄幻*东方玄幻,连载中,浩瀚星空下，一个妖魔横行的世界。在这里，流云铁袖可以吞纳风云，九字真言可以降妖伏魔，太极拳剑可以扭动乾坤，这是一个属于武道的大汉天朝。当诸强的后代斩断传承，亿万年的战血蒸干
北雄,河边草,历史*两晋隋唐,连载中,大业六年，强盛的大隋迎来了转折点。这一年，隋帝杨广开始准备征伐高句丽，顺势拉开了隋末战乱的序幕。接下来的几年间，天下板荡，群雄并起。十八路反王，六十四路烟尘，草
明星爸爸宝贝妞,沉入太平洋,都市*娱乐明星,连载中,“妞妞。”“嗯？”“你爱不爱爸爸？”“爱！”“有多爱？”“很爱！”“很爱是多爱啊？”“像天空一样大的爱！”
朝阳警事,卓牧闲,都市*都市生活,连载中,天眼，地眼，不如人眼。社区民警，扎根基层，依靠群众之眼屡破奇案。朝阳群众表示：别犯事，否则你就完蛋了！书友群：457372140（欢迎各位书友加入）
贼警,虾写,都市*都市生活,连载中,面对团伙化，境外化，高智商化犯罪袭击和报复，重案七组几近解散。左罗临危受命成为七组组长，以水逆计划招募苏诚，精诚合作，取长补短，重建七组辉煌。但作为不法之徒的苏诚会真心帮助
刀镇星河,开荒,玄幻*东方玄幻,连载中,三年之后，战死广林山的上官玄昊，以应试弟子张信的身份，再次踏入了日月玄宗的天柱山别院，开始了他刀戡日月，剑削星河之路！开荒官方粉丝群：340513328，刀镇星河书友群：2986318
幻想世界大穿越,辰一十一,科幻*时空穿梭,连载中,当幻想成为现实，天朝少年能否踏上成神之路？拥有穿越异能的陈昂，穿越在幻想世界里。在《永无止境》的世界里，获得超人的智慧，在《超体》的世界里，窥视成神的奥秘，
韩娱之心里的声音,鹤城风月,都市*都市生活,连载中,人的一生，或生的伟大，或死的光荣。当他回首过去的光阴时，可以自豪地说，我的一生并没有虚度。因为……净TMD倒霉了。金泰浩，你给我出来！现
万道剑尊,打死都要钱,玄幻*东方玄幻,连载中,【热血爽文，一日十更！】远古大战，神域崩塌，众强陨落。大战之后，天地受限，世间再无神魔，只留下一座座神秘的远古战场。故事发生在一片由远古战场孕育而生的青火界内。
修炼狂潮,傅啸尘,玄幻*东方玄幻,连载中,这是一个科学与武道并重的时代，大灾变之后，人类发现了超古代修炼文明，开启了一个大修炼时代，并开始了昆仑界的殖民之路！这是一个人类危机重重，同时也是一个热血沸腾的，强者辈出的时代！
无限制神话,废纸桥,仙侠*现代修真,连载中,楚河：有人叫我老司机，有人唤我套路王，还有人觉得我没点数，是个老阴哔，唯有我自己心里清楚，我只是个孜孜不倦的求道者，唯一值得争议的，或许就是奋斗的过程中手段稍微多了一点，其实真的不脏。
仙药供应商,糖醋于,都市*都市生活,连载中,一个闭塞的乡村，半座山，几间房，有人不远千里而来，豪车挤满了山间的小路，因为这里有一个年轻人，一副药可医白骨，活死人！
大明文魁,幸福来敲门,历史*两宋元明,连载中,紫禁城前九重门，百官簪缨南阙来。帽插宫花朝天颜，金殿传胪名声传。十里御街打马过，人称大明状元郎。这是一个现代人在明朝好好读书，天天向上的故事，已有两本两百万字作品完本，人品
武侠世界大穿越,我叫排云掌,科幻*时空穿梭,连载中,一位武学天赋极高的现代散打高手，穿越于各类武侠世界中，一步步成为颠峰强者的故事！
NBA万界商城,远古莱德,体育*篮球运动,连载中,与万千平行位面NBA球星进行交易！艾弗森：“小子，我这穿花蝴蝶步，八折给你！”奥拉朱旺：“小伙子，我看你骨骼清奇，这梦幻舞步就交给你了！”里克-巴里：“额，我这
无限先知,吴杰超,玄幻*东方玄幻,连载中,先知先觉，占尽先机；轮回空间流传的小道消息，让先穿越再被选中的徐越感到有些无语；秘密消息：‘忍村大战’的最后大BOSS叫做大蛇丸，击杀了历代最强影，第三代火影大人。
国际制造商,二将,都市*异术超能,连载中,韩义在路上扫了个二维码，然后桌面上多了个应用。这个应用很奇怪，它可以捕捉到现实里的一切物品，通过解析来重组物品。【滴滴！！电路模块板-Dome-屏幕-前后盖-重组手机！】
神门,薪意,玄幻*东方玄幻,连载中,【超人气玄幻】这是一个诡异莫名的世界……山，水，石，花，草，树，木，太阳，月亮，星辰……天地万物都是力量的来源。这里有着前世所有的经典名著，但却有了一个新的名字《道典》！
乱清,青玉狮子,历史*清史民国,连载中,孤灯一盏，新月高悬，美人如玉，万里江山。一名小博物馆的兼职讲解员，经历了史上最悲催的穿越，死而后生，绝地求存，誓要凭一己之力，祸乱宫廷，颠覆
替天行盗,石章鱼,历史*架空历史,连载中,风本无形，我欲猎风！九州笑傲，替天行盗！青铜巨椁悬浮幽谷，红衣女尸沉睡千年。瀚海地宫斗转星移，冰海沉船阴魂不散。朝代更迭，世纪交接，一场惊天动地的风暴突然席卷神
玄界旅行社,高森,玄幻*东方玄幻,连载中,找工作失败，通宵狂饮，结果却误入专门服务于修士的玄界旅行社！不过，这位前辈怎么看上去有些怪怪的，你怎么会有猫的耳朵呢？等一下，你为什么还会对猫薄荷这么敏感呢？感谢崔莲支援的
综艺之谐星传奇,金印,都市*娱乐明星,连载中,"我的哭不是哭，我的笑不是笑..谐星....娱乐圈一个特殊的产物，每每奉上笑果，但笑完之后只剩下心酸,让人心疼不已的一群人。装疯卖傻、扮丑洋相只是遮掩他们内心的痛处以及倔强."
舰娘之蔚蓝舰姬,紫色之翼,游戏*游戏异界,连载中,我姓倪名浩二。我是一名海军提督。我叫倪浩二但我真的不二。这是一个海军提督和他舰娘们的故事。这里没有心理阴暗的龙傲天，也没有杀伐果断的主角。
继承两万亿,侠想,都市*都市生活,连载中,白小升，一个平凡打工族，继承了两万亿世界级大财团！按遗嘱，他要从底层做起，来一次职位升级之旅。解锁层层系统辅助功能，解锁海量资金，纵横集团下各行各业子公司，笑傲人生。
万古神帝,飞天鱼,玄幻*东方玄幻,连载中,八百年前，明帝之子张若尘，被他的未婚妻池瑶公主杀死，一代天骄，就此陨落。八百年后，张若尘重新活了过来，却发现曾经杀死他的未婚妻，已经统一昆仑界，开辟出第一中央帝国，号称“池
在漫威当超级英雄的那些年,一吨大苹果,都市*异术超能,连载中,一个不小心穿越了，而且穿越了美利坚。好吧穿越美利坚也没什么不好的。但是那个拿着锤子漫天飞来飞去的家伙都是谁！嘿~谁在那里控制雷暴！不知道这种天气影响生意吗！还有那边那个绿皮的大家伙，
我的身体有bug,不是浮云,游戏*虚拟网游,连载中,有没想过在武侠游戏里用魔法，西幻游戏里用武功，石器游戏里开歼星舰？《家园》是一款囊括一切的游戏，玩家可从家园进入一个个不同的游戏，体验不同游戏的同时，从中获得各种稀有道具和技能，通过家
复活之战斗在第三帝国,锋锐,军事*战争幻想,连载中,一个中国留学生因为一起奇怪的飞行事故在欧洲丧身，也因为那件事故使他接下了一个奇怪的任务．复活的他被卷入了二战的硝烟之中．这里讲述的就是他如何为了生存和理想在那个世界战斗的故事公布作者
暗黑破坏神之毁灭,第七重奏01,游戏*游戏异界,连载中,百族亲王的奇幻暗黑大陆战（jie）斗(cao)毁灭史。
历史粉碎机,木允锋,历史*架空历史,连载中,粉碎吧，历史！第一站，1644年，魂穿已经挂进上吊绳的崇祯
黑暗王者,古羲,科幻*末世危机,连载中,灾难爆发，世界末日。幸存者被铜墙铁壁牢牢包围，在壁内建立新的秩序……权欲，信仰，黑暗互相渗透，层层烙印在人心的各个角落。病毒肆虐，人的本来面目何在？
随身带个侏罗纪,木鱼和尚,都市*异术超能,连载中,随身带着恐龙大世界，燕飞原本只不过是想吃点恐龙蛋，尝尝恐龙肉……却忽然发现，自己也能变成恐龙，于是从一只小小的细颚龙开始，生活，变得越来越精彩了……（种田流小说，欢迎试读）
杀神永生,恐怖的阿肥,灵异*恐怖惊悚,连载中,碎尸重生，御鬼把妹，杀神证道！华夏最高学府之中，求道悟佛，外星科技，基因嫁接，恶魔契约等各种成长路线自由选择。迷雾重重的最高学府内，存有至高典籍的图书馆，SCP机构管理的禁
唐朝小闲人,南希北庆,历史*两晋隋唐,连载中,一个千门高手，因为一道闪电，莫名其妙的来到了大唐永徽四年。自此，一个个弥天大谎，让整个世界都为他起舞。不管是刚刚即位不久的唐高宗，还是当下权倾一时的长孙无忌，又或者是未来将
萌神信徒,突然光和热,游戏*游戏异界,连载中,这是一个信仰诸神的世界，这里有百万神灵，神灵的力量涉及方方面面。一个《地下城与勇士》的圣职者玩家，带着圣职者的技能来到了这个世界，随后他创建了一个教会，萌神教。PS：已经有
帝国霸主,龙灵骑士,军事*战争幻想,连载中,第三帝国的元首刚刚死去，主角鸠占鹊巢成了新的元首，身份成疑让他不得不谨小慎微，远大理想让他不得不放手拼搏，且看一个假元首是如何真的成为一代元首。
英雄联盟之传奇正盛,小木不是小暮,游戏*电子竞技,连载中,【2017最爽LOL文】这一年，大魔王横压当世，三星双雄并起；这一年，国内全华班团结一心，势要争冠；这一年，PDD还在上路当皇帝，厂长也不懂4396是啥玩意；
太监武帝,沉默的糕点,玄幻*东方玄幻,连载中,穿越玄幻版中国古代，成为阉党一小太监。太监养成系统启动，目标：称霸阉党，入主东厂；恢复雄风，迎娶未来女皇。杜变发现在梦境中能够预知即将发生之事，躲开灾祸。而且在
都市之国术无双,鱼儿小小,都市*异术超能,连载中,“太极、八卦、形意、咏春……”一块学习芯片，开启无敌征途。抢夺主角气运，穿越三千世界，武破虚空。问苍茫天地，谁是主角？（本书首订358，一年过去了，均订4000，成绩翻了十倍有多，为什么吖？因为文
惊悚乐园,三天两觉,游戏*虚拟网游,完本,这是超越维度的游戏。亦是追寻真理的竞逐。未知的封印，鬼神的赌局……数据的抗争，人类的救赎……在那个连接着现实的虚拟世界——意识决定我们，意识选择我们
我家客人你惹不起,烽火成林,都市*都市生活,连载中,五月一日，死神小学生柯南来家里做客，我被迫卷入到了一场刑事案件中。五月八日，蝙蝠侠韦恩老爷来家里做客，我被迫跟着他去打击犯罪，五月十六日沉默的羔羊汉尼拔来家里做客，我只能说一句，我家的客人你真的惹
重生之2006,雨去欲续,都市*都市生活,连载中,陆恒，一个来自2015年的汽车销售职场精英，重生回到2006年高考前夕。上辈子，因为他的堕落，导致父亲去世，母亲一夜白发，爱情婚姻一事无成。这一世陆恒发誓要抓住当前，崛起于
脑洞大爆炸,魔性沧月,都市*异术超能,连载中,幻想即现实，意淫即真理。当虚假的设定被现实所承认后，无论它有多离谱，那也是真理。‘百分百一箭三雕’，‘强行防御反击’，‘绝对无敌口令’，‘瞪谁谁怀孕被动’……一
滇娇传之天悦东方,耳根,仙侠*古典仙侠,连载中,这是一部短篇小说，讲述的是一代滇国女王的成长史，我若为王，定要四海臣服！
咸鱼翻身的正确姿势,二宝天使,都市*都市生活,连载中,咸鱼翻身粉丝qq群:575283140简介:我叫顾铮，我专怼系统，最强学霸，泡妞系统，随身武器……一个字:怼他
莽穿新世界,楚白,奇幻*史诗奇幻,连载中,当奇幻变成现实，世界是否依旧美好？这是一群穿越到奇幻游戏世界的玩家们，和自己曾经熟悉的世界碰撞，改变自己也改变世界的故事。书友群：122789154（邪神旌旗）
我在明朝当国公,千斤顶,历史*两宋元明,连载中,杨峰穿越了，他来到了大明，但他一点都不高兴，因为他快饿死了。想尽办法回到现代社会的他曾经立志再也不会到那个见鬼的年代了，但他很快就食言了，为了生活他只能一次又一次的在两个时空里穿梭。
最强基因,零下九十度,玄幻*高武世界,连载中,你听过幸运光环吗？当陈锋发现，自己的幸运光环竟然可以自由控制的时候，他就知道，属于他的时代，来了。
无敌天下,神见,玄幻*异世大陆,连载中,强者，永远都是寂寞的，只有战胜寂寞，才能无敌天下！地球少林世家亲传弟子黄小龙携带华夏无上武学秘典《易筋经》莫名穿越到了武魂世界。武魂世界，体内拥有武魂才能修炼斗气成为一名战
西游之穿越诸天,干燥的心,仙侠*神话修真,连载中,一觉醒来，成了西游世界里北海龙王的私生子，没有功法没有宝物血脉稀薄……幸好，我还可以穿越诸天万界。葫芦兄弟、倩女幽魂、仙剑奇侠、宝莲灯……这是一个在西游世界里穿越诸天，在西游世界里证道长生的
神道丹尊,孤单地飞,玄幻*东方玄幻,连载中,绝世强者、一代丹帝凌寒为追求成神之路而殒落，万年后携《不灭天经》重生于同名少年，从此风云涌动，与当世无数天才争锋，重启传奇之路，万古诸天我最强！普通群：273857096。VIP群（只
龙珠之最强神话,枫叶缀,二次元*衍生同人,完本,夏亚，重生到龙珠世界成为了一名赛亚人，而这时距离贝吉塔星毁灭只剩下12年。“多多利亚先生，听说赛亚人的贝吉塔王正忙着造反呢，你觉得我该怎么处理？”弗利萨将酒杯递给旁边的侍从，饶
穿越1630之崛起南美,孤独麦客,历史*架空历史,连载中,辽阔的潘帕斯草原、富饶的巴西、群雄角力的加勒比海……21世纪500人意外穿越南美，一切从生存开始。
湾区之王,磨砚少年,体育*体育赛事,连载中,“中国人，在橄榄球的圈子里绝对不可能取得成功！”“你柔弱得就好像小鹿斑比，根本无法形成对抗！”“你有头脑、有智慧，但缺乏天赋。”陆恪：但，我有系统。
国产英雄,傲无常,都市*异术超能,连载中,王焱同志：在2015年度“华东地区超能者违纪三项全面整治”、“热火朝天大干一百天再争辉煌”、“孤寡女妖送温暖”、“人妖和平共处知识全面普及”等专项工作中，表现优异，成绩突出。荣获‘先进个人’称号，
我的镀金时代,黑色的单车,都市*都市生活,连载中,白实秋回到1999，重启自己的镀金时代。也曾徘徊，也曾激昂，也曾文艺，也曾逗比，最重要的则是找到属于自己的舞台。群：218154038
独断大明,官笙,历史*两宋元明,连载中,天启三年，成了天启皇帝还有信王朱由检的弟弟，然后还做了皇帝。做了皇帝就要干点事情，一不小心还干大发了。独断大明群：177745561。vip群:200269847（全订或者
直播之荒野挑战,土土士,都市*都市生活,连载中,我曾行走在世界屋脊：珠穆朗玛峰的冰冷山脊上；也曾穿越在死亡沙漠：撒啦哈大沙漠的无人区中；我曾从万米的高空，极限跳伞定点进入燕子洞；也曾潜入百米深的百慕大三角深海
娱乐星工场,给您添蘑菇啦,都市*娱乐明星,完本,经营娱乐星工厂，升级录音棚，抽取混音师！雇佣五星编剧，培训四星艺人，努力把普通剧本拍成顶级大片！保持清新，拒绝妖艳！走心制作，欢快养成！书友群：423156138
某美漫的一方通行,月空楼阁,科幻*未来世界,连载中,路一方魂穿到漫威世界，没有获得什么开挂的系统，却在成年之即觉醒成为了强的开挂的变种人，拥有着一方通行的能力矢量控制。于是一个誓要逆转变种人的悲催未来，带领变种人走向辉煌的五级变种人诞生了。
春秋霸途,青铜剑客,历史*架空历史,连载中,现代人方离穿越到“春秋大陆”，获得召唤异能，率三国群英决战春秋战国名将。诸葛亮、周瑜、司马懿同朝为官，曹操、刘备、孙策共聚一堂，四大都督，五虎上将、五子良将并肩作战，同赴沙场。
超凡传,萧潜,玄幻*东方玄幻,连载中,万千星球，无尽修真。道衍之争，万载不息。衍修小师傅米小经，遭受灭门，由此投身到浩浩荡荡的命运河流之中。身怀衍修至宝，又得道家老怪帮助，一路修行，修真世界的图卷徐徐展开。
恐怖广播,纯洁滴小龙,奇幻*黑暗幻想,完本,“听众朋友们，欢迎收听【恐怖广播】，希望您能够好好享受我们节目陪伴你的时光，好了，下面，请您转过头，看一看您的身后，是不是有一张人脸正在微笑着看着你？”——————起点
我的小人国,青衫小白,科幻*时空穿梭,连载中,简介：嘛，这就是讲述某人来到小人国后，发现自己可以一拳镇山河，一脚踢千军，一人敌万国后在现实与小人国皆横行无忌的故事。总结：这就是个女朋友哪里有小人国好玩的故事。ps:现实位面没有超凡者，只有
古董商的寻宝之旅,血蝠,都市*都市生活,连载中,一个古董商人兼古玩藏家带着几十年的从业经验，回到80年代中期自己年轻时。然后，他发现想要找好藏品是如此简单；至于发财？不好意思，还得一步步来......qq群号424089826，欢迎加入。（血
超维术士,牧狐,玄幻*异世大陆,连载中,巫师的地位，在各大陆与泛位面中，超然无上。神秘、智慧、残忍、血腥，俨然是巫师的代名词。但真实的巫师又是什么样的？安格尔在接触巫师世界后，得出一个结论：
巫师亚伯,吃瓜子群众,奇幻*剑与魔法,连载中,穿越了，怎么还带着赫拉迪克方块。骑士很帅，巫师拉风。你说我是做骑士还是做巫师呢？Ｑ群（普通群）：７８７８６８１Ｑ群（VIP群）：７９９９１８６
怪物乐园,酒煮核弹头,玄幻*异世大陆,连载中,八百年前，世界各地的天空开启了三千座虚空大门，宛若三千颗不同颜色的眼瞳悬挂于天穹之上，无数怪物从眼瞳之中汹涌而出。有一击之下能摧城毁墙，体型巨大，以人肉为食的巨型种；有寄生
锋行天下,静物JW,体育*篮球运动,连载中,从前，有个叫乔丹的家伙，开启了后卫盛世。现在，有个污法污天的张茣，他要让联盟进入新的前锋时代。华山论贱，污绝前锋——他，才是真正的张两万！PS：作者
游戏开发指南,我爱厨房,游戏*虚拟网游,连载中,一部游戏开发的科普读物；一篇互联网产业崛起史；一个传奇制作人；一段游戏人生。这本书想写一个游戏圈。ps.作者老策划退役追梦，全职码字，更
进化之眼,亚舍罗,玄幻*高武世界,连载中,出门一把刀，装备全靠爆！网文写手白小文，被一颗神奇眼球带到了百年之后的灵能时代。灵子渗透，变异兽肆虐，灵界怪物入侵，数据化的地球如同一个超大型游戏！我来了，我看
悟空看私聊,李白不白,玄幻*东方玄幻,连载中,说起来你可能不信，郭大路的山寨手机被一道闪电劈中之后，微信好友里莫名其妙地多了一个名叫“孙悟空”的人。孙悟空性情乖张，一言不合就发红包，什么请仙问卜、什么参禅练功、什么朝真降圣、什么筋
崛起军工,安溪柚,军事*军事战争,连载中,年轻的军事装备学研究生柏毅，穿越到1948年，成为一名普通的解放军战士，在这个红日初升，风云际会的年代，柏毅凭借着对军事和装备的独有技术和些许预见，一步一个脚印，踏出一个个永垂青史的辉煌之路。
史上最牛道长,诸羊黄昏,都市*都市生活,连载中,“恭喜宿主，获得三清道长系统，日后您将以振兴道门为己任，任务失败则扌...”啪嗒——“刚刚好像有一只苍蝇？”系统，卒。--------------
就问你气不气,秋刀斩鱼,都市*娱乐明星,连载中,抄抄书，就太监。动不动，搞事情。他是千夫所指的太监王，也是娱乐圈最为痛恨的搅屎棍！——唐健：“哎，我也很绝望啊！自从拥有【气死人不偿命宇宙无敌叫天天不应叫地地不灵系统】后，一分钟不气人
德意志崛起之路,终极侧位,历史*外国历史,连载中,穿越者站在新天鹅堡的露台上，遥望着柏林的方向。那里是帝国的中心。“总有一天，我会让世界都知道，普鲁士不等于德国，当霍亨索伦家族无法让这个帝国崛起的时候，就让南德意志接过他们的责任和荣耀
中国猎人,步枪,军事*军旅生涯,连载中,【枪团荣誉出品】代号107！捍卫陆军老大哥的地位！隶属文化宣传队，但枪法一流，杀人放火样样精通，我们有另外一个名字——猎人突击队！从小兵到军中最年轻
他从地狱来,纯洁滴小龙,奇幻*黑暗幻想,连载中,阴阳分两路，人鬼皆殊途。人知鬼恐怖，鬼晓人心毒。他叫梁川，能听见死者的声音。———————《舵主群》：58798
钻石王牌之投手归来,飞熊骑士,二次元*衍生同人,连载中,大联盟救援投手泽村，重回少年时代，弥补遗憾，寻找梦想，重铸辉煌的故事。故事很长，慢慢看……
